Bana,Namn,Förening,Klass,Gren,S1,S2,S3,S4,S5,S6,Tot,*,Anm
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,Marcus Heinemark,Norrköpings SKG,Herr,3x20,94,93,93,95,86,81,542,12,
10,Axel Rantakokko,Rasbo-Vaksala SKF,HJ,3x20,93,90,96,92,91,90,552,5,
11,Stefan Bengtsson,Ludvika SKF,Veteran,3x20,88,84,91,96,80,74,513,10,
12,Emil Ala-Kulju,Nyköpings SKG,Herr,3x20,93,91,99,96,89,84,552,12,
13,Carl Larsson,Mariefred-Kärnbo SKF,HJ,3x20,82,80,95,93,90,92,532,8,
14,Per-Erik Andersson,Norrköpings SKG,Veteran,2x30,95,94,96,94,94,97,570,16,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
